Run,Sex_Co,Sex_P,Age_Co,Age_P
Run1,0.5547265782782757,0.03950769563053172,0.5287708069723985,0.1520410745460692
Run2,0.3079337975784707,0.28414066084071404,0.5404624382974003,0.12236909941658616
Run3,0.414374297251662,0.14072954059391546,0.5607125390694246,0.11704991290054396
Run4,0.2309806377566655,0.4269006835422062,0.5819218116276456,0.09038619013786992
Run5,0.21950118022722392,0.45085264609377856,0.5561074448142547,0.10982449497684402
