,race,M,F
0,WHITE,0.1845181377746165,0.14814644994153925
1,BLACK/AFRICAN AMERICAN,0.21554043361291345,0.2756990046669145
2,HISPANIC/LATINO,0.12560781640536242,0.4697210451977401
3,OTHER,0.2287158984007526,0.1645036829182743
4,ASIAN,0.17772416566143948,0.30077922077922076
5,AMERICAN INDIAN/ALASKA NATIVE,0.2287390029325513,0.17037037037037037
