"Run","Sex_Co","Sex_P","Age_Co","Age_P","Race_Co","Race_P","Ins_Co","Ins_P"
"Run1",0.833489261153132,0.000212774730289,0.710591408312372,0.025515868262102,0.51915085530969,0.173116544801865,0.538363409630342,0.175650339048185
"Run2",0.73449835021227,0.00277404117837,0.675862333567926,0.055352386958061,0.550498139809529,0.096494209652924,0.353483113796776,0.435477104779183
"Run3",0.798460226235014,0.000617050637152,0.706665970416414,0.027031890690527,0.525639855290018,0.139580465871795,0.348438324371228,0.501043203194513
"Run4",0.836330752153648,0.000193150116929,0.730058741654432,0.015523993459787,0.503839430296893,0.137683394524479,0.528250796336145,0.148483465650814
"Run5",0.774554941793787,0.001143260231994,0.715182622254246,0.033932240207015,0.556985491298433,0.089718939979532,0.389851781609305,0.370075450669151
"Mean",0.79546670630957,0.000988055378947,0.707672215241078,0.031471275915498,0.531222754400913,0.127318710966119,0.431677485148759,0.326145912668369
"CI",0.037391818570383,0.000938389050816,0.01741515736817,0.013044345939782,0.019412932001563,0.030107257347892,0.082577195871982,0.137678692128442
