Run,Sex_Co,Sex_P,Age_Co,Age_P,Race_Co,Race_P,Ins_Co,Ins_P
Run1,0.8334892611531324,0.00021277473028890505,0.7105914083123721,0.025515868262101487,0.5191508553096895,0.17311654480186514,0.5383634096303417,0.1756503390481854
Run2,0.7344983502122704,0.0027740411783695514,0.6758623335679257,0.05535238695806098,0.5504981398095294,0.09649420965292378,0.35348311379677616,0.43547710477918306
Run3,0.7984602262350136,0.0006170506371520169,0.706665970416414,0.027031890690527093,0.525639855290018,0.13958046587179485,0.3484383243712281,0.5010432031945128
Run4,0.836330752153648,0.0001931501169286864,0.7300587416544325,0.015523993459787128,0.5038394302968935,0.13768339452447928,0.5282507963361455,0.14848346565081372
Run5,0.7745549417937869,0.0011432602319935738,0.7151826222542464,0.03393224020701452,0.5569854912984332,0.08971893997953227,0.3898517816093046,0.37007545066915143
