,diseases,diseases_abbr,Distance,%40-60,Gap_40-60_mean,CI_40-60,%60-80,Gap_60-80_mean,CI_60-80,%20-40,Gap_20-40_mean,CI_20-40,%80-,Gap_80-_mean,CI_80-,%0-20,Gap_0-20_mean,CI_0-20
11,Pneumonia,Pa,0.041292499238169994,0.361946246940746,0.033855843504197194,0.008105019706401468,0.43287603565574695,-0.0072374570785866,0.0047800099658799255,0.137930260233065,-0.00034571496841720033,0.014302705924984145,0.05700877921728,0.013524076146931002,0.01617453116303037,0.010238677953163,-0.007436655733972801,0.01220029881842568
3,Consolidation,Co,0.0607931379480476,0.37300930054784,-0.037692416775214205,0.014252807078112568,0.417091349216461,0.0206080470260784,0.022764811331675294,0.14788508090202598,0.023100721172833398,0.017317607108910456,0.059083959740094005,-0.0350721420133794,0.02749417946976622,0.002930309593579,0.0062075954763666005,0.011351546511813856
7,Lung Lesion,LL,0.1031074368178688,0.39066753078418703,0.0499427810958216,0.011265013149440974,0.451069345430979,0.056308095452578,0.013529716229322676,0.095398574206092,-0.0090888935529192,0.010978175931261368,0.042320155541153995,-0.022398493060209995,0.025882479703928388,0.020544394037589,-0.046799341365290806,0.031890363204692095
10,Pleural Other,PO,0.1402214884271518,0.47570977917981105,0.0403386299265444,0.022998997469560547,0.43091482649842294,0.057069797229479205,0.009769168350400474,0.029652996845426,-0.08315169119767259,0.02767390162920405,0.063722397476341,-0.0324986471698656,0.012165890254107742,0.0,,
6,Fracture,Fr,0.1592228390166534,0.449838187702265,0.008509718160333,0.011827117038435751,0.38259618842143106,-0.023519057315527,0.015593094106195584,0.08719884933477201,-0.0716625151870098,0.011975144129546499,0.074523552678893,0.005403879550159801,0.006730074303115009,0.005843221862639,0.0875603238296436,0.04886816787626193
0,Airspace Opacity,AO,0.23491546243839617,0.36519127192376705,-0.0042750102981003995,0.0053141593560449805,0.407036320950145,0.0862381685953332,0.010674679426926252,0.15350089766606798,-0.005651140145081,0.007278140716423102,0.06536390001381,0.11707861054824001,0.014440412226609205,0.008907609446208999,-0.11783685189015618,0.04506017872501225
5,Enlarged Cardiomediastinum,EC,0.24593031644212202,0.35042685405656504,-0.051580940328040205,0.013155051760010646,0.451013415413206,0.0354579792256846,0.013157202599103295,0.142691213194727,-0.0048562498516298,0.009506934752131217,0.045995702421744,-0.015151515151515199,0.014284837045616476,0.009872814913758,0.19434937611408182,0.038535993627829834
13,Support Devices,SD,0.324972356941403,0.328214635905643,-0.10420249185464718,0.003600224886697853,0.395572937211897,0.0,0.0,0.221167175718778,0.123596439496979,0.006338094020951874,0.049584681100454005,0.08324402775762359,0.006292760232122436,0.005460570063228,-0.20137591744442399,0.022081111706511343
1,Atelectasis,A,0.36768335696058985,0.335617258810282,0.0,0.0,0.47881778906430894,0.16104906947873301,0.007264571463008612,0.130087923145109,-0.05452968343029161,0.015977130911386556,0.050485933095358,0.13541746829163262,0.024333609956724015,0.004991095884941,-0.2066342874818568,0.029310317919756964
12,Pneumothorax,Px,0.3696435213348398,0.318104444039151,0.0,0.0,0.36379111192169705,-0.08165291709569181,0.011814428602657709,0.24296309806067198,0.1648518851510598,0.02641416019712946,0.056234421545382995,-0.166011079402384,0.016263172723974453,0.018906924433096,0.20363244193245583,0.06618629849657617
2,Cardiomegaly,Cd,0.377953394364133,0.31996845325345696,-0.09000444061975761,0.023133050414274946,0.41492734688675004,0.0,0.0,0.19609967497291397,0.11756116107176999,0.028835263574721867,0.06584188388248001,0.1057266772907914,0.005762290027800469,0.003162641004397,-0.260392233292363,0.038580348617329244
9,Pleural Effusion,Ef,0.397971096542865,0.282518348218233,0.0,0.0,0.5125500549499129,0.1296581890191014,0.008960134951374557,0.118786554324621,-0.1508360340879396,0.02145679598514184,0.079601581546935,0.160843586739299,0.010702544619945015,0.006543460960297,-0.23712750980356598,0.022593429903687977
8,No Finding,NF,0.4978040422425234,0.388711353233551,0.0,0.0,0.22954143382662698,-0.2030247509698982,0.006476228172468579,0.342051613265564,0.2312031021803238,0.007885295575865191,0.022841256914997998,-0.2666009400621996,0.010025127645389079,0.01685434275926,0.2082598370232518,0.012800140760070028
4,Edema,Ed,0.5648393172173748,0.315009589425978,0.0,0.0,0.418135620136573,-0.0111946089318372,0.00451425521267601,0.180867568194867,0.125092042787524,0.022126286624896283,0.08540086243754699,0.1640420808838218,0.012994135031316339,0.000586359805035,-0.400797236333553,0.032491515021379716
