,race,M,F
0,WHITE,0.17082925127159018,0.13296957747770466
1,BLACK/AFRICAN AMERICAN,0.1965184364614654,0.2617602114566555
2,HISPANIC/LATINO,0.10452169961372415,0.4300847457627119
3,OTHER,0.20061147695202258,0.14871974745703262
4,ASIAN,0.16807398472054685,0.2805194805194805
5,AMERICAN INDIAN/ALASKA NATIVE,0.17302052785923755,0.17037037037037037
