,diseases,diseases_abbr,Distance,%40-60,Gap_40-60_mean,CI_40-60,%60-80,Gap_60-80_mean,CI_60-80,%20-40,Gap_20-40_mean,CI_20-40,%80-,Gap_80-_mean,CI_80-,%0-20,Gap_0-20_mean,CI_0-20
11,Pneumonia,Pa,0.0535357624831308,0.361946246940746,0.0251215893559534,0.013665778455251161,0.43287603565574695,-0.0079924207068092,0.010093530254673948,0.137930260233065,-0.0196661615550272,0.019406597221476033,0.05700877921728,0.019657142420455,0.023741483893050936,0.010238677953163,-0.0284141731271774,0.05037138400245706
3,Consolidation,Co,0.059369017272900206,0.37300930054784,-0.037434796972128405,0.011397094323906952,0.417091349216461,0.0219342203007718,0.024933087020117383,0.14788508090202598,0.013134413524185998,0.007802390234077691,0.059083959740094005,-0.0315096467746844,0.04675524897864977,0.002930309593579,0.002834663549937599,0.016430535915343897
7,Lung Lesion,LL,0.0888820298052868,0.39066753078418703,0.04352095926773279,0.01419489064189191,0.451069345430979,0.0438886113739958,0.0074653269212909225,0.095398574206092,-0.007331403618508201,0.008819389441165988,0.042320155541153995,-0.019349097872453196,0.02557781668913975,0.020544394037589,-0.044993418431290996,0.02757995476578641
10,Pleural Other,PO,0.1562396810068226,0.47570977917981105,0.03212182827038,0.01882174504694658,0.43091482649842294,0.045657349900262,0.016755033742572745,0.029652996845426,-0.1105823311065606,0.04152946387686958,0.063722397476341,-0.025718206396217202,0.014188983010458366,0.0,,
6,Fracture,Fr,0.16999206978588438,0.449838187702265,0.0141817547168538,0.013743501031782191,0.38259618842143106,-0.022922358984666203,0.013985905009127888,0.08719884933477201,-0.0670056664802094,0.017965016792608604,0.074523552678893,0.0044877487635946005,0.008795987576645414,0.005843221862639,0.10298640330567499,0.05127647555832631
5,Enlarged Cardiomediastinum,EC,0.2347286942619276,0.35042685405656504,-0.0479299809926262,0.00698793308939189,0.451013415413206,0.039662629889258796,0.012429785071082772,0.142691213194727,-0.0042161542161544,0.005944357558851407,0.045995702421744,-0.0115227365227364,0.014303245630784207,0.009872814913758,0.1867987132693014,0.03758716399489125
0,Airspace Opacity,AO,0.24582474691142722,0.36519127192376705,-0.0013231275798039998,0.0025933300564158395,0.407036320950145,0.098034059389665,0.007342192396564234,0.15350089766606798,-0.0084206627289046,0.007730553311479872,0.06536390001381,0.1297573884330112,0.02085434692197166,0.008907609446208999,-0.11606735847841601,0.035030392437290676
13,Support Devices,SD,0.3264763402212808,0.328214635905643,-0.1044290865109508,0.003183759307720496,0.395572937211897,0.0,0.0,0.221167175718778,0.1299953797309398,0.006004467088483132,0.049584681100454005,0.08521105559507819,0.008305422763133811,0.005460570063228,-0.196480960490341,0.02705968774974712
12,Pneumothorax,Px,0.3634980446684628,0.318104444039151,0.0,0.0,0.36379111192169705,-0.0812042321489252,0.011949358978550624,0.24296309806067198,0.1643691359418708,0.023796831109499032,0.056234421545382995,-0.16913361139448096,0.015291031386492857,0.018906924433096,0.1943644332739818,0.07089769831237848
1,Atelectasis,A,0.3738181464000398,0.335617258810282,0.0,0.0,0.47881778906430894,0.16236572962035078,0.008316853989834325,0.130087923145109,-0.0498358176391122,0.014926013606358174,0.050485933095358,0.1375576939447648,0.020805089591861555,0.004991095884941,-0.211452416779689,0.015523186960767732
2,Cardiomegaly,Cd,0.38567305653630723,0.31996845325345696,-0.08736162810025239,0.02161175207262718,0.41492734688675004,0.0,0.0,0.19609967497291397,0.12552540503949258,0.0203965565870644,0.06584188388248001,0.1056591786159032,0.003268528820822947,0.003162641004397,-0.2601476514968146,0.03180030594395523
9,Pleural Effusion,Ef,0.40100042062670016,0.282518348218233,0.0,0.0,0.5125500549499129,0.12953950277966841,0.008843738978887673,0.118786554324621,-0.13738774291590644,0.025642571013668847,0.079601581546935,0.16052616367356978,0.006195229007296184,0.006543460960297,-0.24047425695313035,0.02384837576268497
8,No Finding,NF,0.4970369246294924,0.388711353233551,0.0,0.0,0.22954143382662698,-0.20269212268568843,0.007238268325975323,0.342051613265564,0.23141352369222679,0.007177460249488898,0.022841256914997998,-0.2656234009372656,0.011527587042787973,0.01685434275926,0.21091640011421536,0.006755742197238558
4,Edema,Ed,0.543554808563391,0.315009589425978,0.0,0.0,0.418135620136573,-0.0152985685232294,0.006653462552715583,0.180867568194867,0.11923532094181459,0.025091715664326844,0.08540086243754699,0.16016169058404742,0.020415726674508593,0.000586359805035,-0.3833931179793436,0.034018074898519636
