,race,M,F
0,WHITE,0.1739964838350355,0.13909076319952315
1,BLACK/AFRICAN AMERICAN,0.19911378382655484,0.2791062652294222
2,HISPANIC/LATINO,0.11756418995682799,0.4318502824858757
3,OTHER,0.20178739416745062,0.16415292879691337
4,ASIAN,0.182951347004423,0.24935064935064935
5,AMERICAN INDIAN/ALASKA NATIVE,0.1466275659824047,0.1111111111111111
