,race,M,F
0,WHITE,0.1893964811509401,0.14090190054792637
1,BLACK/AFRICAN AMERICAN,0.21560373476815953,0.28435138148928263
2,HISPANIC/LATINO,0.12547148375369235,0.480225988700565
3,OTHER,0.2113123236124177,0.16836197825324448
4,ASIAN,0.16485725774024929,0.2607792207792208
5,AMERICAN INDIAN/ALASKA NATIVE,0.21407624633431085,0.1111111111111111
