label,bestthr
Airspace Opacity,0.22035977244377136
Atelectasis,0.250823438167572
Cardiomegaly,0.24427828192710876
Consolidation,0.14083795249462128
Edema,0.3006138503551483
Enlarged Cardiomediastinum,0.08539225161075592
Fracture,0.0693848505616188
Lung Lesion,0.1209721565246582
No Finding,0.37666207551956177
Pleural Effusion,0.3018064498901367
Pleural Other,0.10250212252140045
Pneumonia,0.150325208902359
Pneumothorax,0.20621705055236816
Support Devices,0.34609314799308777
