,race,M,F
0,WHITE,0.16908458926630252,0.12949632041083015
1,BLACK/AFRICAN AMERICAN,0.20870390884633644,0.27724775946805436
2,HISPANIC/LATINO,0.11270165871392865,0.4833156779661017
3,OTHER,0.18967544684854187,0.156436338126973
4,ASIAN,0.1527945315641335,0.2555844155844156
5,AMERICAN INDIAN/ALASKA NATIVE,0.187683284457478,0.1111111111111111
